date,Banks,Financials,Oil_Gas,Basic_Materials,Industrials,Technology,Utilities,Health_Care,Consumer_Services,Consumer_Goods
2016-01-06 00:00:00,0.01058458,0.007609766,-0.012935922,0.00751717,0.005785508,0.003667626,0.005693012,-4.81986e-05,-0.009778623,0.007716629
2016-01-07 00:00:00,-0.019070527,-0.01184735,-0.075305328,-0.016433859,-0.012502954,-0.017542285,-0.035800152,-0.008811056,-0.016317378,-0.008390463
2016-01-08 00:00:00,-0.013905115,-0.006459172,-0.002921309,-0.012165052,-0.005067864,-0.010769155,0.009110872,-0.000924327,0.001761081,-0.014878195
2016-01-11 00:00:00,-0.002804377,-0.002623043,-0.002929868,-0.001512173,-0.012497322,-0.007323444,-0.00083326,-0.009781942,-0.007949401,-0.00380122
2016-01-12 00:00:00,0.01441854,0.010040659,-0.006439172,0.009188887,0.018800101,0.019953714,-0.004430443,-0.001918678,0.016708582,0.009661611
2016-01-13 00:00:00,-0.005631137,-0.004663932,0.016656375,-0.005261983,-0.001347255,-0.008988562,0.004438863,0.00049232,0.002612863,-0.015359275
2016-01-14 00:00:00,-0.015792544,-0.011825455,-0.028539173,-0.011674759,-0.011071057,-0.0055265,-0.010725711,-0.00879974,-0.019321444,-0.011303123
2016-01-15 00:00:00,-0.023711355,-0.019103046,-0.013539131,-0.012893502,-0.008441757,-0.002242815,-0.003538318,-0.001540488,0.007069249,-0.018296808
2016-01-18 00:00:00,-0.047876301,-0.020053669,-0.05867414,-0.019814986,-0.022944228,-0.022709235,-0.050933731,-0.016800375,-0.027374515,-0.019296983
2016-01-19 00:00:00,0.032787023,0.015718967,-0.009683352,0.004402523,0.008985415,0.005425295,0.001436963,0.019730234,0.015564517,0.013133735
2016-01-20 00:00:00,-0.013616008,-0.007146972,-0.041810726,-0.005348448,-0.005591813,-0.004579425,-0.025827417,0.001337925,-0.007751977,-0.011684173
2016-01-21 00:00:00,-0.027100994,-0.003808707,-0.059212071,-0.003001345,-0.009153919,-0.003630207,-0.018768765,-0.001437102,-0.003297859,-0.01032438
2016-01-22 00:00:00,-0.00958207,0.01131169,0.061745321,-0.000791327,0.009971342,0.000363614,0.040495383,9.91768e-05,0.015790586,-0.011474576
2016-01-25 00:00:00,0.052564459,0.025791107,0.079020437,0.027022339,0.025469542,0.044673028,0.049780932,0.009229848,0.036568207,0.029178822
2016-01-26 00:00:00,-0.003273875,-0.013058389,-0.001169591,-0.023229667,-0.010639007,-0.01989766,0.021527001,-0.005468398,-0.013773532,-0.018003652
2016-01-27 00:00:00,0.008623269,0.006515594,0.021419053,0.007385906,0.004704271,0.006598351,0.018696018,-0.00049412,0.007197382,0.009404977
2016-01-28 00:00:00,-0.009969504,0.002441152,-0.011907189,-0.005494951,-0.003669729,-0.005180749,0.001448453,0.000592915,-0.024097552,-0.008507027
2016-01-29 00:00:00,0.012550366,0.001113974,0.071025837,0.011738142,0.004585061,0.006706302,0.04676857,0.025553641,0.001174743,-0.002462973
2016-02-01 00:00:00,-0.015163864,-0.010422226,-0.01870911,-0.006399772,-0.004355308,0.003511651,-0.028571211,0.010203437,0.005269333,0.006112976
2016-02-02 00:00:00,-0.002958957,-0.002393525,-0.041364557,0.002033634,-0.011552809,-0.008802357,-0.028621827,0.020893537,-0.01204303,-0.007947502
2016-02-03 00:00:00,-0.00637026,0.000211424,-0.013273254,0.00249727,0.000232369,0.006696847,0.036985366,0.027892088,-0.000295552,0.007516832
2016-02-04 00:00:00,0.006200912,0.00456991,0.022593341,0.004510467,0.008905396,-0.000234219,-0.000656899,0.000136162,0.012922353,0.008019713
2016-02-05 00:00:00,0.005152256,0.000911481,0.003779294,0.006804851,0.007684846,0.010370032,-0.000248452,0.004211867,0.010161214,0.008770838
2016-02-15 00:00:00,-8.42495e-05,-0.012907956,-0.014820716,-0.004324999,0.0,-0.005462907,-0.000922217,0.016805612,0.00144321,0.004129617
2016-02-16 00:00:00,-0.001264596,0.00615735,0.042902524,-0.006678599,0.006945658,0.013889112,0.032193874,0.029901324,0.01460298,0.009366388
2016-02-17 00:00:00,-0.010942049,-0.001553453,-0.026197504,-0.005155859,0.003850514,0.001263569,-0.00896643,0.006877311,0.012990863,0.006919778
2016-02-18 00:00:00,0.013301336,0.011103417,0.04346909,0.005934736,0.00361052,0.009824159,0.037630289,-0.001414579,0.03365835,-0.003421868
2016-02-19 00:00:00,0.002437693,-0.005747142,0.025448477,0.001244943,0.004046313,-0.005014256,0.012722303,-0.000987103,-0.015309211,0.004155883
2016-02-22 00:00:00,0.008110751,0.012086639,0.018971938,-0.00483281,0.007932559,0.008984991,0.006219485,0.030822403,0.02851517,0.015982111
2016-02-23 00:00:00,0.001331558,0.004088851,-0.01144455,-0.001720498,-0.003009197,-0.008185585,0.006195766,0.009365615,0.006937061,-0.001005183
2016-02-24 00:00:00,0.039783531,0.005655187,-0.008758157,-0.004392853,0.000111613,0.001482918,-0.008598721,0.003088774,0.001859477,0.002354309
2016-02-25 00:00:00,-0.001599744,-0.00849482,-0.017570778,-0.006150954,-0.009306565,-0.002053857,-0.015640871,0.001766603,-0.024447154,-0.015546319
2016-02-26 00:00:00,0.002558364,-0.001596502,0.020557166,0.016319207,0.006400561,0.000799224,0.010698178,0.020114862,0.00081555,0.00969743
2016-02-29 00:00:00,-0.026210852,-0.001877413,0.008036381,-0.002649421,0.003575423,-0.000114136,0.004957544,0.02773272,0.008119124,-0.016247079
2016-03-01 00:00:00,-0.001804907,0.004236559,0.017079687,-0.001092982,0.007444892,0.008524232,0.014770751,7.82564e-05,0.001077586,0.007663607
2016-03-02 00:00:00,0.01766212,0.024643591,0.00051304,0.006074312,0.01100969,0.011029937,0.009154765,0.013794394,0.010446057,0.012360862
2016-03-03 00:00:00,-0.000887849,0.001621512,0.005115973,-0.002176279,-0.002411753,0.005692297,0.019015502,-0.007942546,-0.001866916,-0.002863213
2016-03-04 00:00:00,-0.001697176,0.005856039,0.002039083,0.003107523,0.008633462,0.003111459,0.01796922,0.004424614,0.01220498,0.006626388
2016-03-07 00:00:00,-0.003321858,-0.001880963,0.060754423,0.003870873,-0.000870891,-0.00656762,0.046287844,-0.011255109,0.007095024,-0.000344369
2016-03-08 00:00:00,-0.005941982,0.001545336,-0.008824766,0.020193435,0.005214003,-0.012361097,-0.016518518,0.001056896,-0.009735638,-0.001754991
2016-03-09 00:00:00,-0.007950536,-0.000671592,-0.014937768,-0.002426082,0.000541565,-0.002490661,-0.011829048,0.00604585,-0.007164685,0.0008152
2016-03-10 00:00:00,0.006806932,0.008695707,0.019760928,0.002728928,0.006045576,0.00520069,0.012832228,0.010252532,0.018470182,0.003347886
2016-03-11 00:00:00,-0.002291139,-0.008830079,-0.002891104,0.006188232,0.003545532,0.008645425,-0.001267698,-0.000384986,0.00287169,0.018108306
2016-03-14 00:00:00,-0.000819538,-0.00147929,0.0115146,0.020551729,0.000321699,0.0043505,0.000108529,-0.000808952,-0.00575165,0.002634644
2016-03-15 00:00:00,-0.00188749,0.001076064,-0.040066993,-0.004431977,-0.006345813,-0.004238712,-0.025736336,-0.006223806,-0.006840332,-0.000367208
2016-03-16 00:00:00,0.011353085,-0.000336146,-0.001822248,0.00384218,0.004736284,0.002456181,0.006672749,-0.013665148,-0.006090314,0.005280923
2016-03-17 00:00:00,-0.001137657,0.006033403,0.031178564,0.00044238,0.006209205,0.001448549,0.03563136,0.017226351,0.007145723,0.004071345
2016-03-18 00:00:00,-0.006280352,-0.012238738,0.006408224,-0.001032525,0.001493015,0.011733586,-0.008501852,-0.003251028,0.010754202,-0.003645205
2016-03-21 00:00:00,0.002941179,0.004455553,-0.018698159,0.000147569,-0.007809614,-0.001982816,-0.015582195,-0.014565165,0.026263095,-0.017405624
2016-03-22 00:00:00,-0.00269575,-0.000134725,0.006325542,0.016536559,0.00085883,-0.006970983,0.005717241,-0.003980693,0.029546466,-0.00805265
2016-03-23 00:00:00,0.000163586,0.000404122,0.004999607,0.023807234,0.00822874,0.001553312,0.012297603,0.027076587,0.028458688,0.012162731
2016-03-24 00:00:00,-0.017241095,-0.005063302,-0.030379602,0.018117201,0.007739238,-0.007567363,-0.01516236,-0.005009258,0.032557723,0.004461752
2016-03-25 00:00:00,0.007791171,0.001758183,-0.018579495,0.012035837,0.000633446,-0.007962808,0.007542287,-0.005383958,0.029504713,-0.00341376
2016-03-28 00:00:00,-0.001156547,0.008878783,0.018413644,0.029937895,0.012793799,0.005502232,0.004716337,0.021668155,-0.010421481,0.005438052
2016-03-29 00:00:00,-0.01608167,-0.008878783,-0.037517073,0.028419226,-0.001981748,-0.008434124,-0.022822031,0.013289232,-0.010761409,-0.010627093
2016-03-30 00:00:00,0.000167983,-0.003180514,0.004638785,0.024600856,0.006244816,0.001128668,-0.010189055,0.008737593,-0.003690041,0.010136731
2016-03-31 00:00:00,-0.013358332,-0.009465834,-0.039687054,-0.036475466,-0.012003693,-0.00861,-0.032361577,-0.031228349,-0.051682513,-0.013424677
2016-04-01 00:00:00,-0.005034355,-0.012392585,-0.00089214,-0.040450138,-0.012787493,-0.008455261,0.002784338,0.000536851,-0.03038396,-0.002800164
2016-04-04 00:00:00,-0.000256663,-0.003191787,-0.02384506,-0.034061818,-0.007044538,-0.002297531,-0.017370245,0.00344432,0.011719371,-0.002651818
2016-04-05 00:00:00,0.00076979,0.008718572,-0.005131976,-0.008236343,0.001284522,0.004360806,0.009427357,0.012415445,0.029553989,0.015068184
2016-04-06 00:00:00,0.017291497,0.008164991,0.023427931,0.035577982,0.009475716,0.006050592,0.031350887,0.018468505,0.038248288,0.003563205
2016-04-07 00:00:00,-0.00151375,-0.001915185,0.016732323,0.011492807,0.0054951,0.007370901,0.018793244,-0.005944437,0.011057473,0.015607491
2016-04-08 00:00:00,-0.003794431,-0.00054787,0.002468266,-0.004089428,0.002420926,-0.002035739,0.000473919,0.014170989,-0.021770197,0.00571929
2016-04-11 00:00:00,-0.001268017,0.034736934,0.01589692,0.023489201,0.006914643,0.005757198,0.013795862,0.013864281,0.002572198,0.004283047
2016-04-12 00:00:00,-0.005768594,0.009744612,0.01428227,0.001999334,-0.002508887,-0.005983648,0.014169182,-0.006032872,0.010454271,-0.004373097
2016-04-13 00:00:00,-0.006486878,-0.001442529,0.004092077,-0.01030592,-0.004300631,-0.003062095,0.008484263,0.003057327,-0.000693561,-0.006595714
2016-04-14 00:00:00,0.002651047,0.006735794,-0.015432405,-0.003369048,0.002414826,-0.000227195,-0.002797965,-0.004845094,-0.007428075,0.002776103
2016-04-15 00:00:00,0.003410354,-0.006735794,-0.000172816,0.002561511,-0.001259182,-0.00558247,0.004564206,-0.001315501,-0.023574878,0.00288861
2016-04-19 00:00:00,-0.008547791,-0.028283369,-0.041823475,-0.004182695,-0.012467145,-0.005039525,-0.032347979,-0.027431478,0.013976302,-0.020244405
2016-04-20 00:00:00,0.005137437,0.006526077,-0.001623231,0.012629484,-0.007469889,0.000229621,0.009903963,0.003788665,-0.011593647,-0.014826526
2016-04-21 00:00:00,0.004516219,0.013785973,0.048790164,0.003465284,0.005128216,0.003552402,0.03827292,0.011021447,0.000713691,0.011878755
2016-04-22 00:00:00,0.049024953,0.034710361,0.03612817,0.008611036,0.010705492,0.012052448,0.025581409,0.008774573,0.008996273,0.012589929
2016-04-25 00:00:00,0.010388658,-0.012600617,-0.018238605,0.000527496,0.002001159,0.001129561,-0.014312554,-0.012187166,0.020066002,-0.001884499
2016-04-26 00:00:00,0.005512737,0.019666884,0.0,-0.003433706,0.006502383,-0.002713092,0.013925666,0.003449622,0.040517028,0.009718661
2016-04-27 00:00:00,-0.019388403,-0.011676636,0.013918226,-0.003445537,0.001253657,-0.002947514,0.012432075,0.002921006,0.004647568,-0.004862662
2016-04-28 00:00:00,-0.005866075,-0.007860865,-0.002167209,-0.004390348,-0.003241833,0.009604051,0.005822251,0.001033249,-0.042626816,-0.002880405
2016-04-29 00:00:00,0.016049627,0.013301401,-0.004516191,0.002131061,0.005848581,0.004375884,0.004753791,-0.010641751,-0.018370474,0.008676647
2016-05-04 00:00:00,-0.004109429,-0.012008492,-0.018271528,0.005837109,0.001248829,-0.007867861,-0.009211145,0.000931498,0.024801364,0.012949714
2016-05-05 00:00:00,0.016972627,0.000710388,0.00680622,-0.011574665,-0.001978034,-0.003843984,-0.005200324,0.007568767,-0.007352974,-0.000297186
2016-05-06 00:00:00,0.023458495,0.006435029,-0.002206944,-0.017549046,-0.0031312,-0.003063137,0.005825801,-0.00496518,0.002533688,0.002760424
2016-05-09 00:00:00,-0.006769137,-0.014537487,-0.002041511,-0.001362769,-0.002931325,-0.005011971,0.009316925,-0.000334367,0.01007104,0.002220611
2016-05-10 00:00:00,0.011873951,0.001365809,-0.007178291,-0.007391219,-0.002414319,-0.000114201,0.002246198,-0.008807999,-0.01398945,-0.002902588
2016-05-11 00:00:00,0.012420615,0.018800451,0.002398494,0.019859195,0.007747107,0.007169305,0.014158692,-0.001425517,0.006675131,0.013932273
2016-05-12 00:00:00,-0.004352647,-0.00089337,0.018815709,-0.001347709,0.003331601,-0.003180014,0.006844496,-0.001389959,-0.005059808,-0.004132903
2016-05-13 00:00:00,0.001529403,-0.005248684,0.030756393,0.004843276,-0.00249766,0.004086735,0.01890955,0.003490012,-0.009731309,-0.009058113
2016-05-16 00:00:00,0.004574225,0.013450402,0.050486912,0.003349638,0.000208377,-0.00113353,0.018453661,0.000524325,0.004182162,0.006528923
2016-05-17 00:00:00,0.012397165,0.011019916,0.051006831,0.002671655,0.004365911,0.00757023,0.042687877,0.001234822,0.012900432,0.007539235
2016-05-18 00:00:00,0.008378892,-0.011589951,0.002644727,0.004525497,-0.002908489,0.0,-0.012208846,-0.001122503,-0.004358305,-0.003806517
2016-05-19 00:00:00,-0.012443939,-0.001141046,-0.030996372,0.001724939,-0.001770004,0.001012544,-0.006599036,-0.001986172,0.003213223,-0.001438532
2016-05-20 00:00:00,-0.01390019,-0.020699896,0.011287651,-0.00491728,0.002601864,0.004935512,-0.000324549,-0.004737742,-0.006436804,0.001995774
2016-05-23 00:00:00,-0.021649214,0.003748712,-0.028384694,0.000665912,0.004769814,-0.001679826,-0.011460639,-0.010876057,0.006436804,-2.93208e-05
2016-05-24 00:00:00,-0.001016618,0.001289408,0.018155964,-0.003066874,0.003304764,-0.00190722,0.000903974,0.007213395,0.010032004,-0.001643338
2016-05-25 00:00:00,-0.001644415,-0.000515564,0.013963143,0.006522486,0.000412329,-0.001573388,0.014432969,0.006635774,0.000226835,-0.004680678
2016-05-26 00:00:00,-0.011270167,-0.01356415,0.011415141,-0.013087794,-0.007136608,-0.005639537,-0.009701896,-0.004519611,-0.009113756,-0.015462693
2016-05-27 00:00:00,0.008994853,0.007940165,-0.015898114,-0.000537851,0.004350085,0.01079997,-0.005911585,0.00011324,0.007297638,0.010848938
2016-05-30 00:00:00,0.016746896,0.021420687,0.011466137,0.003356834,0.002064837,0.000447477,0.008383039,-0.010586526,0.005212476,-0.000444754
2016-05-31 00:00:00,0.003084994,-0.002414079,0.044876541,0.006280504,0.006066545,-0.001903163,0.037089579,-0.00202379,0.011685526,0.001481745
