date,log_return_vnindex,ex_ret
2015-01-06,0.009523794,0.002420331960065893
2015-01-07,0.004338717,-0.0006638217408298534
2015-01-08,0.002568928,-0.0010440395785101912
2015-01-09,0.028955014,-0.0019010509028395326
2015-01-12,0.008024168,-4.757260770142934e-05
2015-01-13,0.010875319,-0.0007138608274596544
2015-01-14,-0.006202454,-0.000666730189475975
2015-01-15,0.001264343,0.0007619410816739333
2015-01-16,-0.005084389,-0.0009048696890780084
2015-01-19,-0.005757571,0.0002382029977200455
2015-01-20,0.001241552,0.0005238469534274182
2015-01-21,-0.005432225,0.001522359951484852
2015-01-22,0.009478412,-0.0012843383856074124
2015-01-23,0.013553435,-0.004149680419921283
2015-01-26,-0.002992212,0.0028636903877246865
2015-01-27,-0.002310465,-4.766103473012167e-05
2015-01-28,0.007669461,0.00033357954990152815
2015-01-29,-0.000822594,0.00038109756558801967
2015-01-30,-0.012438164,0.003708109787282534
2015-02-02,-0.009943908,-0.003946278745466511
2015-02-03,-0.022876583,-0.0008578782339115819
2015-02-04,0.007114033,0.004044639236609853
2015-02-05,0.010136359,-0.003758598044728146
2015-02-06,0.012196769,-4.76678504273579e-05
2015-02-09,-0.001010735,-0.0008107013009888345
2015-02-10,0.001689793,0.0004292766754053381
2015-02-11,0.012523082,-9.537889272338173e-05
2015-02-12,0.004989594,-0.0011930043647311787
2015-02-13,0.004386009,0.0020510870793452483
2015-02-24,0.016399763,0.00014301718614229936
2015-02-25,-0.007212479,0.0015718405674999048
2015-02-26,0.006827113,0.0003331033364926152
2015-02-27,-0.006978982,-0.0016189708788321839
2015-03-02,-0.003109949,0.0002382483989065187
2015-03-03,0.010088931,-9.529254819483372e-05
2015-03-04,0.006131452,0.0008096973603285892
2015-03-05,-0.005813096,-0.0004762131620068927
2015-03-06,-0.004937535,-0.0012392165925007444
2015-03-09,-0.009353846,0.0006674612881885249
2015-03-10,0.002071132,-0.00019065776988167135
2015-03-11,-0.005305233,-0.0001906941271987338
2015-03-12,0.003387035,0.0010483679778399738
2015-03-13,-0.004137479,0.0003333412731168065
2015-03-16,-0.00908396,0.004086292866457058
2015-03-17,0.001651528,-0.001091211115277209
2015-03-18,-0.005308344,0.002228598091595829
2015-03-19,-0.008573316,0.0013726188405252747
2015-03-20,0.002958634,-0.003031740834726323
2015-03-23,-0.007938419,0.0033627805388679113
2015-03-24,-0.006079153,0.0008979843219869355
2015-03-25,-0.011521273,0.014398860497719159
2015-03-26,-0.008540098,-0.015533290568330941
2015-03-27,-0.008559253,0.0004728356038729563
2015-03-30,-0.011362411,0.0003308519467732748
2015-03-31,0.010836358,0.001180721321669987
2015-04-01,-0.022422135,9.439750797596581e-05
2015-04-02,0.014625961,-0.0034512952963733153
2015-04-03,0.001826985,0.02155154858358472
2015-04-06,-0.008947457,-0.0004636068696851956
2015-04-07,0.009421927,-0.015703458649941687
2015-04-08,-0.000711789,0.0005651047948832185
2015-04-09,0.005099079,-0.0009891430589108407
2015-04-10,0.006355551,-0.00014138605485771637
2015-04-13,0.009896181,0.00018851029793313568
2015-04-14,-0.001556059,0.0003298075367359679
2015-04-15,0.010381425,-0.0005183178346691701
2015-04-16,0.006673871,-0.004534940928974309
2015-04-17,7.04e-05,0.0053358643893761945
2015-04-20,-0.005788115,-0.0017911859608656761
2015-04-21,-0.00496772,0.016795323568582217
2015-04-22,0.000480107,0.0
2015-04-23,-0.002242473,-0.00023199164934116896
2015-04-24,0.008021196,0.0006958135500497617
2015-04-27,-0.005974295,0.00023183030125857948
2015-05-04,-0.031280768,0.0009265694431728202
2015-05-05,0.013792317,0.000694364106130236
2015-05-06,-0.006080149,0.0004626416922675112
2015-05-07,0.006677094,0.0011556686828817758
2015-05-08,0.002763006,0.0002309735545549367
2015-05-11,-0.005134799,0.00046178712434580396
2015-05-12,-0.013247402,0.0009229349986008987
2015-05-13,-0.002924866,0.0009220839749683388
2015-05-14,0.001601458,0.0016116038943416128
2015-05-15,-0.011562106,-0.0016116038943415328
2015-05-18,-0.015923216,0.002990914457846997
2015-05-19,0.014768933,0.000229700242195288
2015-05-20,0.024437237,0.000918273710072522
2015-05-21,0.004461945,-0.00022948938712304625
2015-05-22,0.016619489,-0.0006887843229493647
2015-05-25,0.002098114,0.0011477104438997875
2015-05-26,0.007432347,0.00022938410468750108
2015-05-27,-0.0012702,-0.0009178522902288858
2015-05-28,0.011391584,0.0002295420645910912
2015-05-29,-0.005969226,0.0
2015-06-01,0.009471125,0.0002294893871231818
2015-06-02,-0.008155185,0.0
2015-06-03,-0.004234726,0.0
2015-06-04,0.001917512,0.0
2015-06-05,0.015832109,-0.00022948938712304625
2015-06-08,0.003039989,0.0002294893871231818
2015-06-09,-0.009287081,0.0
2015-06-10,-0.000644279,-0.0006886262179620515
2015-06-11,0.012033214,-0.00022964749211037272
2015-06-12,0.002887146,0.0
2015-06-15,0.00641461,0.0002296474921104986
2015-06-16,-0.010507197,0.0
2015-06-17,-0.002553442,0.00045913683083884587
2015-06-18,0.002553442,0.0
2015-06-19,0.007467525,-0.000229542064591024
2015-06-22,0.015915095,0.0
2015-06-23,-0.001701555,0.0
2015-06-24,-0.005156001,0.0004590314517140072
2015-06-25,-0.003446494,-0.0004590314517140457
2015-06-26,-0.010669139,0.0004590314517140072
2015-06-29,0.017043446,0.0
2015-06-30,0.002194464,-0.00022948938712304625
2015-07-01,-0.002617029,-0.000229542064591024
2015-07-02,0.023723131,0.0
2015-07-03,0.017559958,0.0
2015-07-06,0.014158816,0.0002295420645910912
2015-07-07,0.008044711,-0.014378758557461653
2015-07-08,-0.011328944,-0.001444649224850066
2015-07-09,-0.001718503,-0.00013991558449238557
2015-07-10,0.00829216,-0.0005598581838873915
2015-07-13,0.010750575,-0.00037341299911120766
2015-07-14,0.007275616,0.000513406932936038
2015-07-15,-0.012287683,0.000653046016305053
2015-07-16,-0.006344483,-0.00041976633623995755
2015-07-17,0.00275581,0.0003265001544898436
2015-07-20,-0.012952782,-0.0008864628382769658
2015-07-21,-0.006353333,0.0011662352918410184
2015-07-22,0.021244963,0.000326302298664934
2015-07-23,0.003423521,-0.0001398308049540664
2015-07-24,-0.001187395,0.00018643672857545716
2015-07-27,0.006631324,-0.0006526806758504287
2015-07-28,-0.006298711,0.0003263935869323334
2015-07-29,-0.0107789,0.0012113871862970882
2015-07-30,0.002988965,-0.0012580083196652686
2015-07-31,-0.008832804,0.00074567743586625
2015-08-03,-0.018837969,-0.0006524373425585134
2015-08-04,-0.014394207,-0.000279746365121599
2015-08-05,0.010465058,-0.0034566551607897243
2015-08-06,-0.00999909,0.003783018312624576
2015-08-07,0.00451528,-0.0003263631518350331
2015-08-10,0.01768098,-4.66320035525071e-05
2015-08-11,-0.002411249,0.001165148222136503
2015-08-12,-0.014475029,0.00899570194972657
2015-08-13,-0.016654536,0.002719835720689953
2015-08-14,-0.008839818,0.006287164190020961
2015-08-17,-0.027329654,-0.005458854354801864
2015-08-18,0.012259879,-0.0002760270524035091
2015-08-19,-0.00414494,0.005689132613821816
2015-08-20,-0.019449984,0.00879096508394917
2015-08-21,-0.0185047,0.004705252313021824
2015-08-24,-0.054240005,0.0013081036620240542
2015-08-25,0.005771558,-0.0004057801178337297
2015-08-26,0.02957822,0.0007663353768326952
2015-08-27,0.018009019,-0.0031140722446262583
2015-08-28,0.026735004,-0.0007234908748776651
2015-08-31,-0.010778358,0.0009946650607569642
2015-09-01,-0.004329856,0.0007679277621874382
2015-09-03,-0.014347243,0.008183130956969266
2015-09-04,0.004518012,-0.009764516127823952
2015-09-07,-0.003382089,-0.0001808890702712247
2015-09-08,0.021023375,9.044862524250415e-05
2015-09-09,0.009867866,0.00018087271132276577
2015-09-10,-0.000471859,0.0004972313358181233
2015-09-11,-0.009360717,-0.00022598359455278612
2015-09-14,-0.00809635,0.001039101948066923
2015-09-15,0.001954792,4.515386179160927e-05
2015-09-16,0.001525634,0.0001354493534364158
2015-09-17,-0.002929144,9.028937751605234e-05
2015-09-18,0.006680099,-0.0016264573929741398
2015-09-21,0.010313083,9.042817748162317e-05
2015-09-22,0.001885936,-0.00027130906790885336
2015-09-23,-0.000837755,0.0004973437425902335
2015-09-24,-0.00432208,9.039956614359477e-05
2015-09-25,0.000227944,0.0009035464811682148
2015-09-28,-0.009689486,-0.0010391488950990664
2015-09-29,-0.00655379,0.0005874777040418555
2015-09-30,0.002580463,-0.0013562389058977891
2015-10-01,0.001598324,0.0003166203070529717
2015-10-02,-0.002185017,0.0004973437425902335
2015-10-05,0.013583062,-0.00022603467468130677
2015-10-06,0.019613411,-0.005531138007599961
2015-10-07,-0.002963322,0.0023612761856796854
2015-10-08,0.012363513,-0.008792166515970198
2015-10-09,0.002110998,0.0007318300651373909
2015-10-12,0.006914579,0.0056990602651529184
2015-10-13,-0.002130286,0.0023612761856796854
2015-10-14,-0.001456615,-0.0006805653491963385
2015-10-15,0.004093444,-0.002408380506576481
2015-10-16,0.001046043,-0.0033267285221128453
2015-10-19,0.002677603,0.001869798743366528
2015-10-20,-0.00702077,0.0017753504150939254
2015-10-21,-0.000355724,-0.0010466201951965604
2015-10-22,0.008166616,0.019343660606067972
2015-10-23,0.011129608,-0.019389190690078908
2015-10-26,-0.005215157,0.00027314941442697845
2015-10-27,-0.000284032,-0.0003642158018864505
2015-10-28,-0.003682999,0.00040973345136294725
2015-10-29,0.014915711,0.00013654051861089275
2015-10-30,0.003579179,-0.0005462739699738666
2015-11-02,-0.007619053,-0.0005921337484270402
